title,date,abstract,DOI,source_url,authors,keywords,year,topic_ids,topic_names
Attention Distribution Graph: Visualizing Student’s Attention Transition in Error-finding Tasks,25 February 2022,"Various visualization methods have been proposed for eye movement analysis in programming education. However, most of them were utilized for the general scenario of program comprehension. In this paper, we focus on the eye movement visualization in a specified scenario of error-finding test, in which the students are asked to find multiple errors in a C-language program and submit the result by clicking the corresponding checkbox. A novel visualization scheme namely Attention Distribution Graph (ADG), is proposed to describe the line-level transition of student’s visual attention. We adopt time distance to click event and line number to describe the spatio-temporal space of eye movement, and color the space grids according to the proportion of fixation duration. Experiment results show that, from the distribution of colored grids in ADG, we can infer the student’s cognitive process in a successful error-finding task. It provides a normalized view to analyze the students’ eye movement toward a same bug, especially on the influence of preceding reading to the later decision.",10.1145/3488838.3488850,https://dl.acm.org/doi/10.1145/3488838.3488850,"['Ying Zhou', 'Wei Liu', 'Huitong Liu', 'Jing Xu', 'Wenqing Cheng']","['applied computing', 'computer science education', 'computing education', 'computing education programs', 'education', 'human computer interaction hci', 'humancentered computing', 'professional topics', 'social and professional topics']",2022,"[-1, 1, 2]","['Ruído', 'Cenários de Uso', 'Fluxo de Controle & Grafos']"
On the Equivalence of Information Retrieval Methods for Automated Traceability Link Recovery: A Ten-Year Retrospective,12 September 2020,"At ICPC 2010 we presented an empirical study to statistically analyze the equivalence of several traceability recovery methods based on Information Retrieval (IR) techniques [1]. We experimented the Vector Space Model (VSM) [2], Latent Semantic Indexing (LSI) [3], the Jensen-Shannon (JS) method [4], and Latent Dirichlet Allocation (LDA) [5]. Unlike previous empirical studies we did not compare the different IR based traceability recovery methods only using the usual precision and recall metrics. We introduced some metrics to analyze the overlap of the set of candidate links recovered by each method. We also based our analysis on Principal Component Analysis (PCA) to analyze the orthogonality of the experimented methods. The results showed that while the accuracy of LDA was lower than previously used methods, LDA was able to capture some information missed by the other exploited IR methods. Instead, JS, VSM, and LSI were almost equivalent. This paved the way to possible integration of IR based traceability recovery methods [6].",10.1145/3387904.3394491,https://dl.acm.org/doi/10.1145/3387904.3394491,"['Rocco Oliveto', 'Malcom Gethers', 'Denys Poshyvanyk', 'Andrea De Lucia']","['information retrieval', 'information systems', 'management of computing and information systems', 'professional topics', 'social and professional topics', 'software and its engineering', 'software creation and management', 'software maintenance', 'software management', 'software postdevelopment issues']",2020,"[-1, 1, 2]","['Ruído', 'Cenários de Uso', 'Fluxo de Controle & Grafos']"
Interpreting Multilingual and Document-Length Sensitive Relevance Computations in Neural Retrieval Models through Axiomatic Causal Interventions,13 July 2025,"This reproducibility study analyzes and extends the paper ''Ax- iomatic Causal Interventions for Reverse Engineering Relevance Computation in Neural Retrieval Models,'' which investigates how neural retrieval models encode task-relevant properties such as term frequency. We reproduce key experiments from the original paper, confirming that information on query terms is captured in the model encoding. We extend this work by applying activa- tion patching to Spanish and Chinese datasets and by exploring whether document-length information is encoded in the model as well. Our results confirm that the designed activation patching method can isolate the behavior to specific components and to- kens in neural retrieval models. Moreover, our findings indicate that the location of term frequency generalizes across languages and that in later layers, the information for sequence-level tasks is represented in the CLS token. The results highlight the need for further research into interpretability in information retrieval and reproducibility in machine learning research. Our code is available at https://github.com/OliverSavolainen/axiomatic-ir-reproduce.",10.1145/3726302.3730327,https://dl.acm.org/doi/10.1145/3726302.3730327,"['Oliver Savolainen', 'Dur e Najaf Amjad', 'Roxana Petcu']","['information retrieval', 'information systems', 'retrieval models and ranking']",2025,[1],['Cenários de Uso']
Gallery D.C: auto-created GUI component gallery for design search and knowledge discovery,19 October 2022,"GUI design is an integral part of software development. The process of designing a mobile application typically starts with the ideation and inspiration search from existing designs. However, existing information-retrieval based, and database-query based methods cannot efficiently gain inspirations in three requirements: design practicality, design granularity and design knowledge discovery. In this paper we propose a web application, called Gallery D.C. that aims to facilitate the process of user interface design through real world GUI component search. Gallery D.C. indexes GUI component designs using reverse engineering and deep learning based computer vision techniques on millions of real world applications. To perform an advanced design search and knowledge discovery, our approach extracts information about size, color, component type, and text information to help designers explore multi-faceted design space and distill higher-order of design knowledge. Gallery D.C. is well received via an informal evaluation with 7 professional designers.",10.1145/3510454.3516873,https://dl.acm.org/doi/10.1145/3510454.3516873,"['Sidong Feng', 'Chunyang Chen', 'Zhenchang Xing']",['software and its engineering'],2022,[1],['Cenários de Uso']
CIDER: concept-based interactive design recovery,19 October 2022,"In this paper, we introduce CIDER, a Concept-based Interactive DEsign Recovery tool that recovers a software design in the form of hierarchically organized concepts. In addition to facilitating design comprehension, it also enables designers to assess design quality and identify design problems. It integrates multiple clustering algorithms to reduce the complexity of the recovered design structure, leverages information retrieval techniques to name each cluster using the most relevant topic terms to ease design comprehension, and identifies and labels highly-coupled file clusters to reveal possible design problems. It enables interactive selection of concepts of interest and recovers partial design structures accordingly. The user can also interactively change the levels of recovered hierarchical structure to visualize the design at different granularities.",10.1145/3510454.3516861,https://dl.acm.org/doi/10.1145/3510454.3516861,"['Hongzhou Fang', 'Yuanfang Cai', 'Rick Kazman', 'Jason Lefever']","['information systems', 'software and its engineering', 'software creation and management', 'software notations and tools', 'software organization and properties', 'software postdevelopment issues', 'software reverse engineering']",2022,[1],['Cenários de Uso']
Multi-Modal Code Summarization with Retrieved Summary,03-03 October 2022,"A high-quality code summary describes the functionality and purpose of a code snippet concisely, which is key to program comprehension. Automatic code summarization aims to generate natural language summaries from code snippets automatically, which can save developers time and improve efficiency in development and maintenance. Recently, researchers mainly use neural machine translation (NMT) based approaches to fill this task. They apply a neural model to translate code snippets into natural language summaries. However, the performance of existing NMT-based approaches is limited. Although a summary and a code snippet are semantically related, they may not share common lexical tokens or language structures. Such a semantic gap between codes and summaries hinders the effect of NMT-based models. Only using code tokens to represent a code snippet cannot help NMT-based models overcome this gap. To solve this problem, in this paper, we propose a code summarization approach that incorporates lexical, syntactic and semantic modalities of codes. We treat code tokens as the lexical modality and the abstract syntax tree (AST) as the syntactic modality. To obtain the semantic modality, inspired by translation memory (TM) in NMT, we use the information retrieval (IR) technique to retrieve a relevant summary for a code snippet to describe its functionality. We propose a novel approach based on contrastive learning to build a retrieval model to retrieve semantically similar summaries. Our approach learns and fuses those different modalities using Transformer. We evaluate our approach on a large Java dataset, experiment results show that our approach outperforms the state-of-the-art approaches on automatic evaluation metrics BLEU, ROUGE and METEOR by 10%, 8% and 9%.",10.1109/SCAM55253.2022.00020,https://ieeexplore.ieee.org/document/10006848,"['Lile Lin', 'Zhiqiu Huang', 'Yaoshen Yu', 'Yapeng Liu']","['abstract syntax tree', 'automatic evaluation', 'code representation', 'code snippets', 'code summarization', 'codes', 'coding sequence', 'contrastive learning', 'gated recurrent unit', 'graph neural networks', 'information retrieval', 'input code', 'long shortterm memory', 'long shortterm memory unit', 'machine translation', 'maintenance engineering', 'meaning of codes', 'measurement', 'model performance', 'natural language', 'natural languages', 'neural machine translation', 'neural model', 'program comprehension', 'retrieval results', 'selfsupervised learning', 'semantic gap', 'semantic similarity', 'semantics', 'sequence of tokens', 'similar codes', 'source code', 'source coding', 'syntactics', 'tokenized', 'training set', 'transformer encoder', 'validation set', 'video summarization']",2022,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Automating Just-In-Time Comment Updating,21-25 September 2020,"Code comments are valuable for program comprehension and software maintenance, and also require maintenance with code evolution. However, when changing code, developers sometimes neglect updating the related comments, bringing in inconsistent or obsolete comments (aka., bad comments). Such comments are detrimental since they may mislead developers and lead to future bugs. Therefore, it is necessary to fix and avoid bad comments. In this work, we argue that bad comments can be reduced and even avoided by automatically performing comment updates with code changes. We refer to this task as “Just-In-Time (JIT) Comment Updating” and propose an approach named CUP (Comment UPdater) to automate this task. CUP can be used to assist developers in updating comments during code changes and can consequently help avoid the introduction of bad comments. Specifically, CUP leverages a novel neural sequence-to-sequence model to learn comment update patterns from extant code-comment co-changes and can automatically generate a new comment based on its corresponding old comment and code change. Several customized enhancements, such as a special tokenizer and a novel co-attention mechanism, are introduced in CUP by us to handle the characteristics of this task. We build a dataset with over 108K comment-code co-change samples and evaluate CUP on it. The evaluation results show that CUP outperforms an information-retrieval-based and a rule-based baselines by substantial margins, and can reduce developers' edits required for JIT comment updating. In addition, the comments generated by our approach are identical to those updated by developers in 1612 (16.7%) test samples, 7 times more than the best-performing baseline.",,https://ieeexplore.ieee.org/document/9286136,"['Zhongxin Liu', 'Xin Xia', 'Meng Yan', 'Shanping Li']","['bidirectional long shortterm memory', 'code changes', 'code elements', 'code snippets', 'codecomment coevolution', 'comment updating', 'compound words', 'computer bugs', 'context vector', 'edit distance', 'long shortterm memory', 'maintenance engineering', 'multiple sentences', 'neural model', 'pretrained word embeddings', 'rulebased methods', 'seq2seq model', 'sequence editing', 'sequence of tokens', 'software artifacts', 'software engineering', 'software maintenance', 'source code', 'static analysis', 'substantial margin', 'task analysis', 'test samples', 'training set', 'types of comments', 'usage scenarios', 'validation set', 'word embedding']",2020,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Scraping Sticky Leftovers: App User Information Left on Servers After Account Deletion,22-26 May 2022,"Sixty-five percent of mobile apps require user accounts for offering full-fledged functionality. Account information includes private data, e.g., address, phone number, credit card. Our concern is “leftover” account data kept on the server after account deletion, which can be a significant privacy violation. Specifically, we analyzed 1,435 popular apps from Google Play (and 771 associated websites), of which 678 have their own sign-up process, to answer questions such as: Can accounts be deleted at all? Following account deletion, will user data remain on the app’s servers? If so, for how long? Do apps keep their promise to remove data? Answering these questions, and more generally, understanding and tackling the leftover account problem, is challenging. A fundamental obstacle is that leftover data is manipulated and retained in a private space, on the app’s backend servers; we devised a novel, reverse-engineering approach to infer leftover data from app–server communication. Another obstacle is the distributed nature of this data: program analysis as well as information retrieval are required on both the app and its website. We have developed an end-to-end solution (static analysis, dynamic analysis, natural language processing) to the leftover account problem. First, our toolchain checks whether an app, or its website, support account deletion; next, it checks whether the app/website have a data retention policy, and whether the account is left on servers after deletion, or after the specified retention period; finally, it automatically cleans up leftover accounts. We found that 64.45% of apps do not offer any means for users to delete accounts; 2.5% of apps still keep account data on app servers even after accounts are deleted by users. Only 5% of apps specify a retention period; some of these apps violate their own policy by still retaining data months after the period has ended. Experiments show that our approach is effective, with an F-measure",10.1109/SP46214.2022.9833720,https://ieeexplore.ieee.org/document/9833720,"['Preethi Santhanam', 'Hoang Dang', 'Zhiyong Shan', 'Iulian Neamtiu']",[],2022,['Other'],['Cluster Other']
Hashing for cleaner reverse engineered queries for the Entity Comparison Problem in RDF Graphs,14-17 December 2020,"There are many information retrieval tasks over the Web, which cannot be attended with a simple keyword-based lookup search. Such an important exploratory search problem is the comparison of two Web resources. To manually compare two data resources by looking for information from one Web page to another without any software support is inefficient and time-consuming. This paper discusses a solution to automatize the comparison of two data resources present in a RDF graph. In our work, we provide an improvement over the current state-of-the-art method, by reverse engineering SPARQL queries using a hashing based recursive procedure. We empirically verify how hashing could largely benefit in reducing the size of the returned query and hence making it practically comprehensible for users or agents to understand the similarity concepts returned.",10.1109/WIIAT50758.2020.00028,https://ieeexplore.ieee.org/document/9457716,"['Priyam Tyagi', 'Mariana Curado Malta', 'Animesh Dutta']","['agents', 'dbpedia', 'empirical evaluation', 'entity pairs', 'exploratory search', 'graph problems', 'hash function', 'hashing', 'headquarters', 'information retrieval', 'input graph', 'knowledge discovery', 'list of entities', 'metadata', 'natural language', 'online resource', 'query variables', 'rdf', 'resource description framework', 'resource description framework graph', 'reverse engineering', 'search problems', 'semantic web', 'semantics', 'similar concepts', 'similar queries', 'similarity query', 'software', 'software agents', 'sparql', 'sparql query', 'time complexity', 'user tasks', 'virtual assistant', 'web pages']",2020,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Data Mining Visual Inspection Information in Electrical Machine Maintenance Reports,05-08 September 2022,Visual inspections from industrial electrical machine maintenance contain information regarding fault causality and early indications. Predictive maintenance paradigms include increasing applications of machine learning. Natural text proves costly for processing and feature extraction. This work applies state-of-the-art natural language text processors in a Synchronous Generator maintenance report corpus to extract features and observe limitations. Results indicate a high level of correlation between text features and faults and are encouraging for extended application in the scope of electric machine predictive maintenance and repair. Reverse engineering of the procedure and specialization on the task can provide literature with an unexplored avenue of information retrieval. These innovative models can be trained and used for decision-making during scheduled outages. Information from well-trained classifiers can be extrapolated to advance fault causality understanding in broader electric machine research.,10.1109/ICEM51905.2022.9910720,https://ieeexplore.ieee.org/document/9910720,"['G. Falekas', 'D. Verginadis', 'A. Karlis', 'J. A. Antonino-Daviu']","['artificial intelligence', 'bert model', 'big data applications', 'causal analysis', 'computer aided engineering', 'condition monitoring', 'context awareness', 'correlation', 'data mining', 'dataset bias', 'dataset size', 'deep learning', 'electric machine', 'electric machines', 'electrical maintenance', 'feature extraction', 'high level of correlation', 'impaired mechanisms', 'information extraction', 'information retrieval', 'inspection', 'knowledge acquisition', 'natural language', 'numerical data', 'predictive maintenance', 'reverse engineering', 'sparks', 'supervised learning', 'text data', 'visual inspection', 'visualization', 'word embedding']",2022,"[-1, 0, 1]","['Ruído', 'Dependência & Correlação', 'Cenários de Uso']"
Reverse engineering approach for classes’ representations and interactions in software projects,21-23 September 2020,"Software life cycle is an essential process for all software projects. The costliest stage is the maintenance process, which needs a lot of effort to understand the current software. Therefore, software reverse engineering is widely used to deal with that challenge. This paper proposed a new approach to reverse engineer a modified UML class diagram that focuses on the internal structure of the class with detailed class metrics. Moreover, a class call graph is generated statically for the set of target classes. The proposed approach is applied to an open source project to demonstrate its effectiveness.",10.1049/icp.2021.0755,https://ieeexplore.ieee.org/document/9545856,"['A. Alalawi', 'M. Hammed']","['c programming', 'call graph', 'class diagram', 'class structure', 'java code', 'plot diagram', 'processing software', 'reverse engineering', 'sequence diagram', 'software engineering', 'source code', 'unified modeling language', 'xml file']",2020,"[-1, 1]","['Ruído', 'Cenários de Uso']"
Reverse Engineering UML Sequence Diagrams for Program Comprehension Activities,25-27 November 2020,"Program comprehension is a required activity for many software development and maintenance tasks. A common means of understanding software is though UML diagrams. UML diagrams model the design and implementation of an application, describing both its structure and behaviour. However with rapid software development life cycles, UML diagrams often become inconsistent with the implementation of an application. This limits their effectiveness in program comprehension activities. This paper presents a program analysis framework to reverse engineer sequence diagrams from application source code. Part of this framework is the ability to filter out irrelevant operations from a sequence diagram in order to simplify the representation of an application. This is achieved by identifying important data, and following its use in the application. The purpose of this framework is to aid in program comprehension activities by providing up to date representations of an application; while also enabling developers to identify the logical operation of a program without interference from irrelevant or supporting operations.",10.1109/CITISIA50690.2020.9371851,https://ieeexplore.ieee.org/document/9371851,"['Hayden Cheers', 'Yuqing Lin']","['agile development', 'application in order', 'authors of this paper', 'call sequences', 'control flow', 'detailed diagram', 'dynamic analysis', 'entry point', 'execution path', 'flow control', 'flow data', 'frameworks aim', 'implementation of applications', 'intelligent systems', 'interference', 'irrelevant details', 'java application', 'maintenance engineering', 'maintenance tasks', 'open application', 'parse tree', 'program analysis', 'program comprehension', 'return value', 'reverse engineering', 'sequence diagram', 'software', 'software development', 'software maintenance', 'source code', 'static analysis', 'task analysis', 'uml reverse engineering', 'understanding of applications', 'understanding of system', 'unified modeling language']",2020,"[-1, 1]","['Ruído', 'Cenários de Uso']"
The Visual Debugger Tool,03-07 October 2022,"Debugging is an essential part of software maintenance and evolution since it allows software developers to analyze program execution step by step. Understanding a program is required to fix potential flaws, alleviate bottlenecks, and implement new desired features. Thus, software developers spend a large percentage of their time validating and debugging software, resulting in high software maintenance and evolution cost. We aim to reduce this cost by providing a novel visual debugging tool to software developers to foster program comprehension during debugging. Our debugging tool visualizes program execution information graphically as an object diagram and is fully integrated into the popular Java development environment IntelliJ IDEA. Moreover, the object diagram allows interactions to explore program execution information in more detail. A demonstration of our tool is available at https://www.youtube.com/watch?v=lU_OgotweRk.",10.1109/ICSME55016.2022.00066,https://ieeexplore.ieee.org/document/9978211,"['Tim Kräuter', 'Harald König', 'Adrian Rutle', 'Yngve Lamo']","['application programming interface', 'behavioral model', 'costs', 'current scope', 'debugging', 'information for more details', 'integrated development environment', 'intellij idea plugin', 'interactive visualization', 'java', 'objectoriented', 'objects in the world', 'opensource tool', 'part of maintenance', 'parts list', 'program execution', 'sequence diagram', 'software development', 'software maintenance', 'software visualization', 'source code', 'text representation', 'unified modeling language', 'unit tests', 'visual components', 'visual debugger', 'visual debugging', 'visualization', 'visualization tool']",2022,"[-1, 1]","['Ruído', 'Cenários de Uso']"
